RUNNER WEIGHT,MODEL,CUSOMER,MOULD NAME,RM NAME,RAW MATERIAL GRADE,P.WEIGHT,SHORT WEIGHT,CYCLE TIME,UPH,NO OF CAVITY
0.0045,PS7I,TOPRUN,BLANKING ASSY – USB RH NNB,PP,HT940SU2I NNB,0.0061,0.0168,32,113,2
0.0045,PS7I FL,TOPRUN,BLANKING ASSY – USB LH WDN,PP,HT940SU2I WDN,0.0061,0.0168,32,113,2
0.0045,PS7I FL,TOPRUN,BLANKING ASSY – USB RH WDN,PP,HT940SU2I WDN,0.0061,0.0168,32,113,2
0.0045,PS7I FL,TOPRUN,BLANKING ASSY – USB LH YGN,PP,HT940SU2I YGN,0.0061,0.0168,32,113,2
0.0045,PS7I FL,TOPRUN,BLANKING ASSY – USB RH YGN,PP,HT940SU2I YGN,0.0061,0.0168,32,113,2
0.0042,PS7I FL,TOPRUN,GRILL-SUBSPEAKER-GRILL NNB,PP,HT940SU2I NNB,0.065,0.1342,40,90,2
0.0042,PS7I FL,TOPRUN,GRILL-SUBSPEAKER-GRILL WDN,PP,HT940SU2I WDN,0.065,0.1342,40,90,2
0.0042,PS7I FL,TOPRUN,GRILL-SUBSPEAKER-GRILL YGN,PP,HT940SU2I YGN,0.065,0.1342,40,90,2
0.0175,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG RR NNB,PP,HP310 NNB,0.035,0.0875,40,90,2
0.0175,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG RR YGN,PP,HP310 YGN,0.035,0.0875,40,90,2
0.0175,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG RR WDN,PP,HP310 WDN,0.035,0.0875,40,90,2
0.0115,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG OTR RR LH NNB,PP,HP310 NNB,0.037,0.0485,36,100,1
0.0115,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG OTR RR LH YGN,PP,HP310 YGN,0.037,0.0485,36,100,1
0.0115,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG OTR RR LH WDN,PP,HP310 WDN,0.037,0.0485,36,100,1
0.0115,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG OTR RR RH NNB,PP,HP310 NNB,0.037,0.0485,36,100,1
0.0115,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG OTR RR RH YGN,PP,HP310 YGN,0.037,0.0485,36,100,1
0.0115,PS7I FL,TOPRUN,COVER ASSY-2ND SEAT MTG OTR RR RH WDN,PP,HP310 WDN,0.037,0.0485,36,100,1
0.0026,PS7I FL,TOPRUN,"COVER-3RD SEAT CUSHION OTR,LH NNB",PP,HP310 NNB,0.044,0.0466,40,90,1
0.0026,PS7I FL,TOPRUN,"COVER-3RD SEAT CUSHION OTR,RH NNB",PP,HP310 YGN,0.044,0.0466,40,90,1
0.0026,PS7I FL,TOPRUN,"COVER-3RD SEAT CUSHION OTR,LH YGN",PP,HP310 WDN,0.044,0.0466,40,90,1
0.0026,PS7I FL,TOPRUN,"COVER-3RD SEAT CUSHION OTR,RH YGN",PP,HP310 NNB,0.044,0.0466,40,90,1
0.0026,PS7I FL,TOPRUN,"COVER-3RD SEAT CUSHION OTR,LH YGN",PP,HP310 YGN,0.044,0.0466,40,90,1
0.0026,PS7I FL,TOPRUN,"COVER-3RD SEAT CUSHION OTR,LH WDN",PP,HP310 WDN,0.044,0.0466,40,90,1
0.0026,PS7I FL,TOPRUN,"COVER-3RD SEAT CUSHION OTR,RH WDN",PP,HP310 WDN,0.044,0.0906,41,88,2
0.004,PS7I,TOPRUN,"COVER-3RD SEAT RECLINER,LH NNB",PP,HP310 WDN,0.0203,0.0243,45,80,1
0.004,PS7I,TOPRUN,"COVER-3RD SEAT RECLINER,RH NNB",PP,HP310 WDN,0.0203,0.0243,45,80,1
0.004,PS7I,TOPRUN,"COVER-3RD SEAT RECLINER,LH WDN",PP,HP310 WDN,0.0203,0.0243,45,80,1
0.004,PS7I,TOPRUN,"COVER-3RD SEAT RECLINER,RH WDN",PP,HP310 WDN,0.0203,0.0243,45,80,1
0.004,PS7I,TOPRUN,"COVER-3RD SEAT RECLINER,LH YGN",PP,HP310 WDN,0.0203,0.0243,45,80,1
0.004,PS7I,TOPRUN,"COVER-3RD SEAT RECLINER,RH YGN",PP,HP310 WDN,0.0203,0.0243,45,80,1
0.014,QXI PE,TOPRUN,LEVER FR SEAT HGTADJM _RH,PP,HP310 NNB,0.0755,0.165,50,72,2
0.0032,QXI PE,TOPRUN,"CAP FR SEAT HGT ADJM KNOB, RH",PP,HP310 NNB,0.0051,0.0134,36,100,2
0.0048,PS7I FL,TOPRUN,CAP FR SEAT NNB,PP,HP310 NNB,0.0094,0.0235,36,100,2
0.0048,PS7I FL,TOPRUN,CAP FR SEAT WDN,PP,HP310 WDN,0.0094,0.0235,36,100,2
0.0048,PS7I FL,TOPRUN,CAP FR SEAT YGN,PP,HP310 YGN,0.0094,0.0235,36,100,2
0.0062,BN7I,TOPRUN,KNOB-GI/BOX LHD_84513-AY010_NNB,PC+ASA,WR-7250H NNB,0.024,0.0302,45,80,1
0.0062,BN7I,TOPRUN,KNOB-GI/BOX LHD_84513-AY010_UMG,PC+ASA,WR-7250H UMG,0.024,0.0302,45,80,1
0.0062,BN7I,TOPRUN,KNOB-GI/BOX RHD_84513-AY910_NNB,PC+ASA,WR-7250H NNB,0.024,0.0302,45,80,1
0.0062,BN7I,TOPRUN,KNOB-GI/BOX RHD_84513-AY910_UMG,PC+ASA,WR-7250H UMG,0.024,0.0302,45,80,1
0.0032,BN7I,TOPRUN,"ROD BEZEL, LHD LH_84764-AY000",PA6,KN333H15BL NNB,0.0028,0.0088,36,100,2
0.0032,BN7I,TOPRUN,"ROD BEZEL, LHD LH_84764-AY000-UMG",PA6,KN333H15BL UMG,0.0028,0.0088,36,100,2
0.0032,BN7I,TOPRUN,"ROD BEZEL, LHD RH_84764-AY000",PA6,KN333H15BL NNB,0.0028,0.0088,36,100,2
